CustomerID,Age,Marital_Status,Education,Employment_Type,Suburb,City,Province,Location_Type,Customer_Tenure,Annual_Income,Current_Account,Savings_Account,Credit_Card,Personal_Loan,Home_Loan,Vehicle_Loan,Current_Account_Balance,Savings_Account_Balance,Credit_Card_Balance,Personal_Loan_Balance,Home_Loan_Balance,Vehicle_Loan_Balance,Current_Account_Closed_Date,Savings_Account_Closed_Date,Credit_Card_Closed_Date,Personal_Loan_Closed_Date,Home_Loan_Closed_Date,Vehicle_Loan_Closed_Date,Online_Banking_Registered,Mobile_App_Registered,USSD_Registered,Online_Banking_Txns,Mobile_App_Txns,USSD_Txns,Credit_Score,Flag_Product_Mismatch,Flag_Closed_With_Balance,Flag_No_Products,Num_Products,Num_Digital_Channels,Total_Digital_Txns,Num_Prev_Closures,Digitally_Dormant
11,40,Divorced,Matric,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,3.6,5473.83,True,False,False,True,False,False,69.43,0.0,0.0,28777.38,0.0,0.0,,,,,,,True,True,False,2.0,1.0,0.0,716.0,False,False,False,2,2,3.0,0,False
12,49,Single,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,9.6,62655.63,True,True,False,True,False,False,923.03,3886.63,0.0,124237.57,0.0,0.0,,,2024-07-16,,,,True,False,False,3.0,0.0,0.0,393.0,False,False,False,3,1,3.0,1,False
13,47,Single,Matric,Full-time employed,Nelspruit,Mbombela,Mpumalanga,Urban,1.3,394639.26,True,True,False,False,False,False,6201.07,32320.54,0.0,0.0,0.0,0.0,,,,,,,True,False,False,5.0,0.0,0.0,,False,False,False,2,1,5.0,0,False
14,34,Single,Diploma/Certificate,Full-time employed,Walmer,Gqeberha,Eastern Cape,Suburban,3.8,263779.84,True,True,False,False,True,True,4162.83,23419.41,0.0,0.0,1884623.86,331010.82,,,,,,,False,True,False,0.0,4.0,0.0,552.0,False,False,False,4,1,4.0,0,False
15,25,Single,Bachelor's,Retired,Khayelitsha,Cape Town,Western Cape,Township,2.9,126857.74,False,True,False,True,False,False,0.0,7196.75,0.0,97933.18,0.0,0.0,,,,,,,False,True,False,0.0,5.0,0.0,490.0,False,False,False,2,1,5.0,0,False
16,59,Divorced,Matric,Part-time employed,Sandton,Johannesburg,Gauteng,Urban,8.6,58188.07,True,True,False,True,False,True,1342.17,6940.84,0.0,43259.23,0.0,424704.01,,,,,,,True,True,False,2.0,9.0,0.0,436.0,False,False,False,4,2,11.0,0,False
17,80,Married,Diploma/Certificate,Unemployed,Galeshewe,Kimberley,Northern Cape,Township,14.4,3999.0,False,True,False,True,False,False,0.0,388.84,0.0,55181.55,0.0,0.0,,,2022-01-09,,,,False,True,True,0.0,1.0,1.0,379.0,False,False,False,2,2,2.0,1,False
18,51,Married,Matric,Self-employed,Umlazi,Durban,KwaZulu-Natal,Township,7.3,127598.76,True,False,False,False,False,True,2328.72,0.0,0.0,0.0,0.0,417493.16,,,,,,,True,False,True,4.0,0.0,4.0,638.0,False,False,False,2,2,8.0,0,False
19,40,Divorced,Less than matric,Full-time employed,Motherwell,Gqeberha,Eastern Cape,Township,2.9,94568.19,False,False,False,True,False,True,0.0,0.0,0.0,97075.3,0.0,143570.4,,,,,,,True,True,False,7.0,7.0,0.0,258.0,False,False,False,2,2,14.0,0,False
20,48,Single,Diploma/Certificate,Full-time employed,Umhlanga,Durban,KwaZulu-Natal,Urban,4.2,251828.805,True,True,True,False,False,True,28771.61,233125.52,118843.65,0.0,0.0,850000.0,,,,2022-12-17,,,True,True,False,13.0,28.0,0.0,602.0,False,False,False,4,2,41.0,1,False
21,33,Single,Matric,Self-employed,Galeshewe,Kimberley,Northern Cape,Township,3.3,116251.68,False,False,True,False,False,False,0.0,0.0,11157.39,0.0,0.0,0.0,,,,,,,False,True,True,0.0,8.0,5.0,625.0,False,False,False,1,2,13.0,0,False
22,40,Single,Diploma/Certificate,Part-time employed,Soweto,Johannesburg,Gauteng,Township,1.7,62725.04,True,True,True,True,False,False,1200.79,4522.79,1770.91,64638.91,0.0,0.0,,,,,,,False,True,True,0.0,6.0,4.0,438.0,False,False,False,4,2,10.0,0,False
23,33,Married,Diploma/Certificate,Full-time employed,Green Point,Cape Town,Western Cape,Urban,5.5,496645.23,True,True,True,False,False,True,10279.98,66442.49,,0.0,0.0,716804.37,,,,,,,True,True,True,4.0,4.0,0.0,391.0,True,False,False,4,3,8.0,0,False
24,36,Single,Diploma/Certificate,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,1.0,128782.92,True,True,True,False,True,False,1763.04,11400.47,9007.2,0.0,2450890.78,0.0,,,,,,,True,True,True,0.0,0.0,4.0,506.0,False,False,False,4,3,4.0,0,False
25,40,Married,Matric,Part-time employed,Khayelitsha,Cape Town,Western Cape,Township,1.8,46258.7,True,True,True,False,False,True,550.09,3627.92,6198.16,0.0,0.0,261848.33,,,,,,,False,True,True,0.0,4.0,2.0,690.0,False,False,False,4,2,6.0,0,False
26,42,Married,Diploma/Certificate,Retired,Mahikeng CBD,Mahikeng,North West,Urban,7.3,246128.7,True,True,True,False,False,False,4755.25,37227.0,15789.89,0.0,0.0,0.0,,,,,,,True,False,False,0.0,0.0,0.0,610.0,False,False,False,3,1,0.0,0,True
27,34,Single,Matric,Full-time employed,Glenwood,Durban,KwaZulu-Natal,Urban,2.5,303710.24,True,True,True,False,True,True,4795.74,37985.98,35906.23,0.0,1793715.98,652518.8,,,,,,,True,True,False,16.0,9.0,0.0,675.0,False,False,False,5,2,25.0,0,False
28,60,Married,Diploma/Certificate,Self-employed,Seshego,Polokwane,Limpopo,Township,6.1,183042.21,True,True,False,False,True,False,3114.85,13587.81,0.0,0.0,1392675.36,0.0,,,,,,,True,False,True,5.0,0.0,4.0,526.0,False,False,False,3,2,9.0,0,False
29,36,Single,Less than matric,Full-time employed,Mamelodi,Tshwane,Gauteng,Township,4.0,147828.95,True,True,False,False,False,True,2276.42,8190.93,0.0,0.0,0.0,434109.64,,,,,,,True,False,True,4.0,0.0,9.0,562.0,False,False,False,3,2,13.0,0,False
30,47,Single,Diploma/Certificate,Full-time employed,Soweto,Johannesburg,Gauteng,Township,4.6,360563.96,False,True,False,False,False,True,0.0,33269.12,0.0,0.0,0.0,215418.39,,,,,,,False,True,True,0.0,4.0,5.0,541.0,False,False,False,2,2,9.0,0,False
31,52,Married,Bachelor's,Part-time employed,Mamelodi,Tshwane,Gauteng,Township,3.5,182088.68,False,True,True,False,True,True,0.0,18593.09,47288.85,0.0,2091329.36,354377.03,,,,,,,False,False,False,0.0,0.0,0.0,771.0,False,False,False,4,0,0.0,0,False
32,55,Married,Diploma/Certificate,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,4.3,395045.72,True,True,True,False,False,False,4766.95,32691.18,57977.58,0.0,0.0,0.0,,,,,,,True,False,False,5.0,0.0,0.0,638.0,False,False,False,3,1,5.0,0,False
33,20,Single,Less than matric,Unemployed,Tembisa,Ekurhuleni,Gauteng,Township,2.7,35098.0,False,False,False,True,False,False,0.0,0.0,0.0,209968.05,0.0,0.0,,,,,,,False,True,False,0.0,6.0,0.0,668.0,False,False,False,1,1,6.0,0,False
34,44,Divorced,Matric,Self-employed,Umhlanga,Durban,KwaZulu-Natal,Urban,11.6,97643.38,True,True,True,True,True,False,2019.64,8050.04,5835.15,65867.54,1547506.19,0.0,,,,,,,False,True,True,0.0,9.0,0.0,774.0,False,False,False,5,2,9.0,0,False
35,48,Married,Matric,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,6.5,2426.59,False,True,False,False,False,False,0.0,208.35,0.0,0.0,0.0,0.0,,,,,,,False,True,True,0.0,0.0,1.0,710.0,False,False,False,1,2,1.0,0,False
36,43,Single,Diploma/Certificate,Unemployed,Fourways,Johannesburg,Gauteng,Suburban,5.2,5691.51,True,False,True,False,False,False,106.56,0.0,699.35,0.0,131.37,0.0,,,,,,,True,True,False,0.0,2.0,0.0,826.0,True,False,False,2,2,2.0,0,False
37,34,Single,Diploma/Certificate,Part-time employed,Sandton,Johannesburg,Gauteng,Urban,4.7,34115.93,True,True,False,False,False,True,631.12,4084.08,0.0,0.0,0.0,325690.94,,,,,,,True,True,False,2.0,8.0,0.0,646.0,False,False,False,3,2,10.0,0,False
38,56,Married,Matric,Unemployed,Rosebank,Johannesburg,Gauteng,Urban,3.0,7312.76,False,True,True,True,False,False,0.0,647.41,148.62,109573.17,0.0,0.0,,,,,,,True,True,True,4.0,3.0,0.0,592.0,False,False,False,3,3,7.0,0,False
39,30,Single,Less than matric,Part-time employed,Fourways,Johannesburg,Gauteng,Suburban,0.7,107390.59,True,False,False,True,False,False,1639.82,0.0,0.0,11537.7,0.0,0.0,,2022-02-08,,,,,False,True,False,0.0,4.0,0.0,710.0,False,False,False,2,1,4.0,1,False
40,43,Married,Matric,Full-time employed,Mdantsane,East London,Eastern Cape,Township,7.9,185164.4,False,True,False,True,False,True,0.0,20029.67,0.0,21574.85,0.0,823385.5,,,,,,,False,True,False,0.0,5.0,0.0,99.0,False,False,False,3,1,5.0,0,False
41,35,Single,Less than matric,Full-time employed,Alexandra,Johannesburg,Gauteng,Township,4.7,178388.64,True,True,False,False,False,False,2548.72,18257.77,0.0,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,556.0,False,False,False,2,0,0.0,0,False
42,48,Single,Matric,Self-employed,Newlands,Cape Town,Western Cape,Suburban,5.6,989139.03,True,True,False,False,True,True,20833.75,77247.1,0.0,0.0,1226938.81,430628.85,,,,,,,True,False,True,5.0,0.0,0.0,603.0,False,False,False,4,2,5.0,0,False
43,49,Single,Less than matric,Unemployed,Mamelodi,Tshwane,Gauteng,Township,5.4,38344.82,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,False,0.0,0.0,0.0,306.0,False,False,True,0,1,0.0,0,True
44,18,Single,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,0.9,178291.44,True,True,True,False,False,False,3294.44,14603.49,10581.3,0.0,0.0,331.95,,,,,,2021-10-12,True,True,False,5.0,2.0,0.0,645.0,True,True,False,3,2,7.0,1,False
45,18,Single,Matric,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,4.0,81044.63,True,False,False,False,False,False,1369.36,0.0,0.0,0.0,0.0,0.0,,,,,,,False,False,True,0.0,0.0,1.0,,False,False,False,1,1,1.0,0,False
46,35,Single,Less than matric,Self-employed,Waterfront,Cape Town,Western Cape,Urban,2.2,60803.06,False,True,False,False,False,False,0.0,5222.39,0.0,0.0,0.0,0.0,,,,,,,True,False,False,7.0,0.0,0.0,271.0,False,False,False,1,1,7.0,0,False
47,33,Single,Matric,Full-time employed,Tlhabane,Rustenburg,North West,Township,4.0,155782.68,True,True,True,False,False,True,2555.64,9314.52,,0.0,0.0,377307.39,,,,,,,True,True,False,4.0,0.0,0.0,538.0,True,False,False,4,2,4.0,0,False
48,43,Single,Matric,Student,Mamelodi,Tshwane,Gauteng,Township,2.8,2415.77,True,False,True,True,False,False,41.03,0.0,106.64,99645.49,0.0,0.0,,,,,,,True,True,True,1.0,2.0,9.0,526.0,False,False,False,3,3,12.0,0,False
49,47,Single,Less than matric,Full-time employed,Centurion,Tshwane,Gauteng,Suburban,10.2,289268.13,True,True,True,False,False,True,4628.66,30307.67,34686.35,0.0,0.0,850000.0,,,,,,,True,False,True,6.0,0.0,5.0,698.0,False,False,False,4,2,11.0,0,False
50,23,Married,Matric,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,0.8,71339.06,True,True,False,False,False,False,920.98,4402.3,0.0,0.0,0.0,0.0,,,,,,,True,True,False,0.0,7.0,0.0,,False,False,False,2,2,7.0,0,False
51,28,Single,Matric,Full-time employed,Sandton,Johannesburg,Gauteng,Urban,1.6,160539.62,True,False,False,False,False,True,2337.62,0.0,0.0,0.0,0.0,377646.05,,,,,,,True,True,True,4.0,9.0,1.0,614.0,False,False,False,2,3,14.0,0,False
52,37,Single,Bachelor's,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,7.3,7958.39,True,False,True,False,False,False,151.06,0.0,723.62,0.0,0.0,0.0,,,,,,2023-10-31,True,True,False,0.0,2.0,0.0,702.0,False,False,False,2,2,2.0,1,False
53,73,Married,Matric,Part-time employed,Mahikeng CBD,Mahikeng,North West,Urban,8.6,172289.74,True,True,True,False,True,True,4003.72,19209.44,31687.39,0.0,2390957.45,439065.69,,,,,,,True,True,False,4.0,13.0,0.0,498.0,False,False,False,5,2,17.0,0,False
54,19,Single,Bachelor's,Full-time employed,Alexandra,Johannesburg,Gauteng,Township,2.1,132775.37,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,False,True,0.0,0.0,6.0,409.0,False,False,True,0,1,6.0,0,False
55,39,Single,Less than matric,Unemployed,Green Point,Cape Town,Western Cape,Urban,2.9,25009.88,False,False,False,True,False,False,0.0,0.0,0.0,25827.15,0.0,0.0,,,2024-08-14,,,,True,False,False,1.0,0.0,0.0,485.0,False,False,False,1,1,1.0,1,False
56,45,Married,Matric,Full-time employed,Motherwell,Gqeberha,Eastern Cape,Township,2.9,586292.48,False,False,True,True,False,True,0.0,0.0,68863.56,125577.58,0.0,850000.0,,,,,,,False,True,True,0.0,7.0,5.0,549.0,False,False,False,3,2,12.0,0,False
57,49,Single,Less than matric,Full-time employed,Walmer,Gqeberha,Eastern Cape,Suburban,3.4,326232.62,True,False,False,False,False,False,4543.36,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,True,0.0,12.0,3.0,720.0,False,False,False,1,2,15.0,0,False
58,39,Single,Postgraduate,Full-time employed,Umlazi,Durban,KwaZulu-Natal,Township,8.2,434612.33,True,False,False,False,False,False,6779.19,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,False,0.0,0.0,0.0,577.0,False,False,False,1,1,0.0,0,True
59,36,Single,Matric,Self-employed,Umlazi,Durban,KwaZulu-Natal,Township,1.4,319255.33,True,True,True,True,True,True,4112.62,32558.8,41736.66,149356.09,1352475.43,580435.36,,,,,,,False,True,True,0.0,2.0,3.0,628.0,False,False,False,6,2,5.0,0,False
60,42,Single,Matric,Unemployed,Green Point,Cape Town,Western Cape,Urban,6.0,89809.64,True,False,False,False,False,False,1861.25,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,False,6.0,6.0,0.0,,False,False,False,1,2,12.0,0,False
61,39,Single,Diploma/Certificate,Retired,Khayelitsha,Cape Town,Western Cape,Township,2.0,128129.58,False,False,True,True,False,False,0.0,0.0,2737.12,21366.07,0.0,0.0,,,,,,,False,False,True,0.0,0.0,1.0,420.0,False,False,False,2,1,1.0,0,False
62,38,Single,Diploma/Certificate,Retired,Rosebank,Johannesburg,Gauteng,Urban,7.0,73305.06,True,True,False,False,False,True,1640.05,9339.94,0.0,0.0,0.0,513800.15,,,,,,,True,False,True,3.0,0.0,0.0,611.0,False,False,False,3,2,3.0,0,False
63,48,Single,Matric,Full-time employed,Tembisa,Ekurhuleni,Gauteng,Township,6.6,214164.78,False,True,True,False,False,True,0.0,26231.6,30281.15,0.0,0.0,255199.59,,,,2024-09-28,,,True,True,True,4.0,0.0,14.0,835.0,False,False,False,3,3,18.0,1,False
64,26,Single,Bachelor's,Full-time employed,Fourways,Johannesburg,Gauteng,Suburban,3.6,104871.54,True,True,False,False,True,False,1415.91,11019.39,0.0,0.0,738553.7,0.0,,,,,,,True,True,False,0.0,7.0,0.0,527.0,False,False,False,3,2,7.0,0,False
65,35,Married,Matric,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,3.2,26994.12,False,False,False,True,False,False,0.0,0.0,0.0,130594.67,0.0,0.0,,,,,,,False,True,True,0.0,4.0,6.0,518.0,False,False,False,1,2,10.0,0,False
66,52,Divorced,Matric,Self-employed,Fourways,Johannesburg,Gauteng,Suburban,5.6,157266.815,True,True,False,False,False,False,3223.73,23581.9,0.0,0.0,0.0,0.0,,,,,,,True,True,False,3.0,6.0,0.0,,False,False,False,2,2,9.0,0,False
67,39,Married,Matric,Self-employed,Tlhabane,Rustenburg,North West,Township,6.4,131205.83,True,True,False,False,False,True,2015.08,16737.88,0.0,0.0,0.0,538556.01,,,,,,,False,False,True,0.0,0.0,4.0,328.0,False,False,False,3,1,4.0,0,False
68,35,Married,Matric,Unemployed,Sandton,Johannesburg,Gauteng,Urban,1.0,41467.62,False,False,False,True,True,False,0.0,0.0,0.0,198614.26,869047.23,0.0,,,,,,,True,True,False,4.0,3.0,0.0,160.0,False,False,False,2,2,7.0,0,False
69,26,Married,Matric,Part-time employed,Soweto,Johannesburg,Gauteng,Township,1.0,171385.02,True,True,False,False,True,True,2655.6,12330.24,0.0,0.0,542978.05,235644.36,,,,,,,True,False,False,4.0,0.0,0.0,791.0,False,False,False,4,1,4.0,0,False
70,34,Married,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,8.2,325892.9,False,True,True,True,True,True,0.0,29167.87,62604.83,30932.3,1409466.28,246379.22,,,,,,,False,True,True,0.0,0.0,4.0,865.0,False,False,False,5,2,4.0,0,False
71,41,Married,Matric,Full-time employed,Tlhabane,Rustenburg,North West,Township,1.6,8018.64,False,True,False,True,True,False,0.0,774.31,0.0,108942.74,788529.27,0.0,,,,,,2021-06-23,False,True,True,0.0,7.0,10.0,540.0,False,False,False,3,2,17.0,1,False
72,41,Single,Matric,Unemployed,Tembisa,Ekurhuleni,Gauteng,Township,2.5,20188.12,False,False,False,True,False,False,0.0,0.0,0.0,208497.88,0.0,0.0,2024-11-16,,,,,,False,False,True,0.0,0.0,5.0,353.0,False,False,False,1,1,5.0,1,False
73,47,Widowed,Less than matric,Unemployed,Nelspruit,Mbombela,Mpumalanga,Urban,4.7,5448.57,True,False,False,False,False,False,110.43,0.0,0.0,0.0,0.0,0.0,,,,,,,True,False,False,0.0,0.0,0.0,,False,False,False,1,1,0.0,0,True
74,44,Married,Matric,Unemployed,Newlands,Cape Town,Western Cape,Suburban,4.1,6724.2,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,False,0.0,3.0,0.0,445.0,False,False,True,0,1,3.0,0,False
75,57,Married,Matric,Informal trader,Soweto,Johannesburg,Gauteng,Township,12.3,133795.24,True,True,False,False,False,False,2516.94,,0.0,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,648.0,True,False,False,2,0,0.0,0,False
76,30,Married,Diploma/Certificate,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,8.2,21860.57,True,True,True,False,True,False,411.64,2356.87,2299.89,0.0,820669.77,0.0,,,,,,,True,True,False,0.0,1.0,0.0,506.0,False,False,False,4,2,1.0,0,False
77,65,Married,Diploma/Certificate,Unemployed,Mdantsane,East London,Eastern Cape,Township,8.9,13786.62,True,False,False,True,False,False,220.2,0.0,0.0,104141.64,0.0,0.0,,,,,,,True,True,False,0.0,2.0,0.0,590.0,False,False,False,2,2,2.0,0,False
78,52,Single,Matric,Unemployed,Rosebank,Johannesburg,Gauteng,Urban,8.2,53879.17,True,True,False,False,True,True,1150.86,4586.26,0.0,0.0,1034959.06,606896.29,,,2022-11-04,,,,True,True,True,6.0,12.0,1.0,717.0,False,False,False,4,3,19.0,1,False
79,48,Single,Diploma/Certificate,Unemployed,Tlhabane,Rustenburg,North West,Township,1.5,23543.78,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,False,True,True,0.0,1.0,8.0,665.0,False,False,True,0,2,9.0,0,False
80,18,Married,Matric,Unemployed,Glenwood,Durban,KwaZulu-Natal,Urban,0.6,28423.75,False,True,False,False,False,False,0.0,2626.45,0.0,0.0,0.0,0.0,,,,,,,True,True,True,4.0,8.0,3.0,,False,False,False,1,3,15.0,0,False
81,54,Divorced,Bachelor's,Student,Walmer,Gqeberha,Eastern Cape,Suburban,9.8,4611.91,False,True,False,False,False,False,0.0,274.63,0.0,0.0,0.0,0.0,,,,,,,True,False,False,0.0,0.0,0.0,,False,False,False,1,1,0.0,0,True
82,18,Single,Less than matric,Unemployed,Tembisa,Ekurhuleni,Gauteng,Township,0.6,28748.72,False,False,False,True,False,False,0.0,0.0,0.0,16398.12,0.0,0.0,,,,,,,False,False,True,0.0,0.0,3.0,475.0,False,False,False,1,1,3.0,0,False
83,38,Single,Matric,Unemployed,Green Point,Cape Town,Western Cape,Urban,6.8,32216.97,True,True,False,True,False,False,647.56,4344.14,0.0,168625.01,0.0,0.0,,,2024-09-04,,,,True,True,False,0.0,10.0,0.0,755.0,False,False,False,3,2,10.0,1,False
84,18,Single,Less than matric,Full-time employed,Newlands,Cape Town,Western Cape,Suburban,3.0,146270.5,False,False,False,True,False,True,0.0,0.0,0.0,23949.94,0.0,138549.71,,,,,,,True,False,False,5.0,0.0,0.0,298.0,False,False,False,2,1,5.0,0,False
85,35,Single,Less than matric,Full-time employed,Tlhabane,Rustenburg,North West,Township,8.3,162560.83,True,False,False,False,True,False,3289.41,0.0,0.0,0.0,671060.22,0.0,,,,,,,False,True,True,0.0,5.0,3.0,548.0,False,False,False,2,2,8.0,0,False
86,43,Single,Diploma/Certificate,Retired,Seshego,Polokwane,Limpopo,Township,4.2,173164.6,True,False,False,True,False,True,3259.3,0.0,0.0,55295.5,0.0,168177.14,,,,,,,False,True,True,0.0,4.0,3.0,410.0,False,False,False,3,2,7.0,0,False
87,37,Married,Diploma/Certificate,Informal trader,Glenwood,Durban,KwaZulu-Natal,Urban,4.6,656321.92,True,True,True,False,True,False,14345.62,54776.25,47754.42,0.0,1789073.7,0.0,,,,,,,True,True,False,11.0,0.0,0.0,889.0,False,False,False,4,2,11.0,0,False
88,30,Single,Matric,Retired,Umhlanga,Durban,KwaZulu-Natal,Urban,1.9,320307.24,True,True,True,False,True,True,5845.16,21969.78,11219.0,0.0,2800000.0,164519.38,,,,,,,False,False,False,0.0,0.0,0.0,495.0,False,False,False,5,0,0.0,0,False
89,33,Single,Matric,Part-time employed,Khayelitsha,Cape Town,Western Cape,Township,5.3,112388.19,False,True,False,False,False,False,0.0,12100.75,0.0,0.0,0.0,0.0,,,,,,,False,False,True,0.0,0.0,4.0,313.0,False,False,False,1,1,4.0,0,False
90,18,Single,Matric,Unemployed,Unknown,Johannesburg,Gauteng,Township,3.0,22370.24,False,False,True,False,False,False,0.0,0.0,1891.46,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,488.0,False,False,False,1,0,0.0,0,False
91,40,Married,Matric,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,5.6,909.45,False,True,True,False,False,False,0.0,112.65,7.83,0.0,0.0,0.0,2021-10-10,,,,,,True,False,True,0.0,0.0,6.0,431.0,False,False,False,2,2,6.0,1,False
92,29,Single,Less than matric,Unemployed,Mdantsane,East London,Eastern Cape,Township,0.3,21995.32,False,True,False,False,False,False,0.0,2456.43,0.0,0.0,0.0,0.0,,,,,,,False,False,False,0.0,0.0,0.0,524.0,False,False,False,1,0,0.0,0,False
93,47,Married,Matric,Self-employed,Soweto,Johannesburg,Gauteng,Township,6.0,146914.21,True,True,True,False,False,False,2529.4,18160.82,9611.59,0.0,0.0,0.0,,,,,,,True,True,False,0.0,2.0,0.0,729.0,False,False,False,3,2,2.0,0,False
94,59,Married,Matric,Part-time employed,Green Point,Cape Town,Western Cape,Urban,8.7,28575.14,True,False,False,False,False,True,608.25,0.0,0.0,0.0,0.0,344422.53,,,,,,,True,True,True,5.0,2.0,0.0,501.0,False,False,False,2,3,7.0,0,False
95,58,Married,Bachelor's,Self-employed,Waterfront,Cape Town,Western Cape,Urban,7.5,82997.38,True,False,False,True,True,False,1552.11,0.0,0.0,151457.11,1808480.17,0.0,,2021-11-01,,,,,False,False,True,0.0,0.0,0.0,724.0,False,False,False,3,1,0.0,1,True
96,21,Single,Matric,Student,Sandton,Johannesburg,Gauteng,Urban,3.6,45388.01,True,False,True,False,False,True,945.66,0.0,4913.32,0.0,0.0,616148.91,,,,,,,True,True,False,3.0,13.0,0.0,646.0,False,False,False,3,2,16.0,0,False
