CustomerID,Age,Marital_Status,Education,Employment_Type,Suburb,City,Province,Location_Type,Customer_Tenure,Annual_Income,Current_Account,Savings_Account,Credit_Card,Personal_Loan,Home_Loan,Vehicle_Loan,Current_Account_Balance,Savings_Account_Balance,Credit_Card_Balance,Personal_Loan_Balance,Home_Loan_Balance,Vehicle_Loan_Balance,Current_Account_Closed_Date,Savings_Account_Closed_Date,Credit_Card_Closed_Date,Personal_Loan_Closed_Date,Home_Loan_Closed_Date,Vehicle_Loan_Closed_Date,Online_Banking_Registered,Mobile_App_Registered,USSD_Registered,Online_Banking_Txns,Mobile_App_Txns,USSD_Txns,Credit_Score
11,40,Divorced,Matric,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,3.6,5473.83,True,False,False,True,False,False,69.43,,,28777.38,,,,,,,,,True,True,False,2.0,1.0,,716.0
12,49,Single,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,9.6,62655.63,True,True,False,True,False,False,923.03,3886.63,,124237.57,,,,,2024-07-16,,,,True,False,False,3.0,,,393.0
13,47,Single,Matric,Full-time employed,Nelspruit,Mbombela,Mpumalanga,Urban,1.3,394639.26,True,True,False,False,False,False,6201.07,32320.54,,,,,,,,,,,True,False,False,5.0,,,
14,34,Single,Diploma/Certificate,Full-time employed,Walmer,Gqeberha,Eastern Cape,Suburban,3.8,263779.84,True,True,False,False,True,True,4162.83,23419.41,,,1884623.86,331010.82,,,,,,,False,True,False,,4.0,,552.0
15,25,Single,Bachelor's,Retired,Khayelitsha,Cape Town,Western Cape,Township,2.9,126857.74,False,True,False,True,False,False,,7196.75,,97933.18,,,,,,,,,False,True,False,,5.0,,490.0
16,59,Divorced,Matric,Part-time employed,Sandton,Johannesburg,Gauteng,Urban,8.6,58188.07,True,True,False,True,False,True,1342.17,6940.84,,43259.23,,424704.01,,,,,,,True,True,False,2.0,9.0,,436.0
17,80,Married,Diploma/Certificate,Unemployed,Galeshewe,Kimberley,Northern Cape,Township,14.4,3999.0,False,True,False,True,False,False,,388.84,,55181.55,,,,,2022-01-09,,,,False,True,True,,1.0,1.0,379.0
18,51,Married,Matric,Self-employed,Umlazi,Durban,KwaZulu-Natal,Township,7.3,127598.76,True,False,False,False,False,True,2328.72,,,,,417493.16,,,,,,,False,False,True,4.0,,4.0,638.0
19,40,Divorced,Less than matric,Full-time employed,Motherwell,Gqeberha,Eastern Cape,Township,2.9,94568.19,False,False,False,True,False,True,,,,97075.3,,143570.4,,,,,,,True,True,False,7.0,7.0,,258.0
20,48,Single,Diploma/Certificate,Full-time employed,Umhlanga,Durban,KwaZulu-Natal,Urban,4.2,,True,True,True,False,False,True,28771.61,233125.52,118843.65,,,850000.0,,,,2022-12-17,,,True,True,False,13.0,28.0,,602.0
21,33,Single,Matric,Self-employed,Galeshewe,Kimberley,Northern Cape,Township,3.3,116251.68,False,False,True,False,False,False,,,11157.39,,,,,,,,,,False,True,True,,8.0,5.0,625.0
22,40,Single,Diploma/Certificate,Part-time employed,Soweto,Johannesburg,Gauteng,Township,1.7,62725.04,True,True,True,True,False,False,1200.79,4522.79,1770.91,64638.91,,,,,,,,,False,True,True,,6.0,4.0,438.0
23,33,Married,Diploma/Certificate,Full-time employed,Green Point,,Western Cape,Urban,5.5,496645.23,True,True,True,False,False,True,10279.98,66442.49,,,,716804.37,,,,,,,True,True,True,4.0,4.0,0.0,391.0
24,36,Single,Diploma/Certificate,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,1.0,128782.92,True,True,True,False,True,False,1763.04,11400.47,9007.2,,2450890.78,,,,,,,,True,True,True,0.0,0.0,4.0,506.0
25,40,Married,Matric,Part-time employed,Khayelitsha,Cape Town,Western Cape,Township,1.8,46258.7,True,True,True,False,False,True,550.09,3627.92,6198.16,,,261848.33,,,,,,,False,True,True,,4.0,2.0,690.0
26,42,Married,Diploma/Certificate,Retired,Mahikeng CBD,Mahikeng,North West,Urban,7.3,246128.7,True,True,True,False,False,False,4755.25,37227.0,15789.89,,,,,,,,,,True,False,False,0.0,,,610.0
27,34,Single,Matric,Full-time employed,Glenwood,Durban,KwaZulu-Natal,Urban,2.5,303710.24,True,True,True,False,True,True,4795.74,37985.98,35906.23,,1793715.98,652518.8,,,,,,,True,True,False,16.0,9.0,,675.0
28,60,,Diploma/Certificate,Self-employed,Seshego,Polokwane,Limpopo,Township,6.1,183042.21,True,True,False,False,True,False,3114.85,13587.81,,,1392675.36,,,,,,,,True,False,True,5.0,,4.0,526.0
29,36,Single,Less than matric,Full-time employed,Mamelodi,Tshwane,Gauteng,Township,4.0,147828.95,True,True,False,False,False,True,2276.42,8190.93,,,,434109.64,,,,,,,True,False,True,4.0,,9.0,562.0
30,47,Single,Diploma/Certificate,Full-time employed,Soweto,Johannesburg,Gauteng,Township,4.6,360563.96,False,True,False,False,False,True,,33269.12,,,,215418.39,,,,,,,False,True,True,,4.0,5.0,541.0
31,52,Married,Bachelor's,Part-time employed,Mamelodi,,Gauteng,Township,3.5,182088.68,False,True,True,False,True,True,,18593.09,47288.85,,2091329.36,354377.03,,,,,,,False,False,False,,,,771.0
32,55,Married,Diploma/Certificate,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,4.3,395045.72,True,True,True,False,False,False,4766.95,32691.18,57977.58,,,,,,,,,,True,False,False,5.0,,,638.0
33,20,Single,Less than matric,Unemployed,Tembisa,Ekurhuleni,Gauteng,Township,2.7,35098.0,False,False,False,True,False,False,,,,209968.05,,,,,,,,,False,True,False,,6.0,,668.0
34,44,Divorced,Matric,Self-employed,Umhlanga,Durban,KwaZulu-Natal,Urban,11.6,97643.38,True,True,True,True,True,False,2019.64,8050.04,5835.15,65867.54,1547506.19,,,,,,,,False,True,True,,9.0,0.0,774.0
35,48,Married,Matric,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,6.5,2426.59,False,True,False,False,False,False,,208.35,,,,,,,,,,,False,True,True,,0.0,1.0,710.0
36,43,Single,Diploma/Certificate,Unemployed,Fourways,Johannesburg,Gauteng,Suburban,5.2,5691.51,True,False,True,False,False,False,106.56,,699.35,,131.37,,,,,,,,True,True,False,0.0,2.0,,826.0
37,34,Single,Diploma/Certificate,Part-time employed,Sandton,Johannesburg,Gauteng,Urban,4.7,34115.93,True,True,False,False,False,True,631.12,4084.08,,,,325690.94,,,,,,,True,True,False,2.0,8.0,,646.0
38,56,Married,Matric,Unemployed,Rosebank,Johannesburg,Gauteng,Urban,3.0,7312.76,False,True,True,True,False,False,,647.41,148.62,109573.17,,,,,,,,,True,True,True,4.0,3.0,0.0,592.0
39,30,Single,Less than matric,Part-time employed,Fourways,Johannesburg,Gauteng,Suburban,0.7,107390.59,True,False,False,True,False,False,1639.82,,,11537.7,,,,2022-02-08,,,,,False,True,False,,4.0,,710.0
40,43,Married,Matric,Full-time employed,Mdantsane,East London,Eastern Cape,Township,7.9,185164.4,False,True,False,True,False,True,,20029.67,,21574.85,,823385.5,,,,,,,False,True,False,,5.0,,99.0
41,35,Single,Less than matric,Full-time employed,Alexandra,Johannesburg,Gauteng,Township,4.7,178388.64,True,True,False,False,False,False,2548.72,18257.77,,,,,,,,,,,False,False,False,,,,556.0
42,48,Single,Matric,Self-employed,Newlands,Cape Town,Western Cape,Suburban,5.6,989139.03,True,True,False,False,True,True,20833.75,77247.1,,,1226938.81,430628.85,,,,,,,True,False,True,5.0,,0.0,603.0
43,49,Single,Less than matric,Unemployed,Mamelodi,Tshwane,Gauteng,Township,5.4,38344.82,False,False,False,False,False,False,,,,,,,,,,,,,False,True,False,,0.0,,306.0
44,18,Single,Matric,,Soweto,Johannesburg,Gauteng,Township,0.9,178291.44,True,True,True,False,False,False,3294.44,14603.49,10581.3,,,331.95,,,,,,2021-10-12,True,True,False,5.0,2.0,,645.0
45,18,Single,Matric,Full-time employed,Khayelitsha,Cape Town,Western Cape,Township,4.0,81044.63,True,False,False,False,False,False,1369.36,,,,,,,,,,,,False,False,True,,,1.0,
46,35,Single,Less than matric,Self-employed,Waterfront,Cape Town,Western Cape,Urban,2.2,60803.06,False,True,False,False,False,False,,5222.39,,,,,,,,,,,True,False,False,7.0,,,271.0
47,33,Single,Matric,Full-time employed,Tlhabane,Rustenburg,North West,Township,4.0,155782.68,True,True,True,False,False,True,2555.64,9314.52,,,,377307.39,,,,,,,True,True,False,4.0,0.0,,538.0
48,43,Single,Matric,Student,Mamelodi,Tshwane,Gauteng,Township,2.8,2415.77,True,False,True,True,False,False,41.03,,106.64,99645.49,,,,,,,,,False,True,True,1.0,2.0,9.0,526.0
49,47,Single,Less than matric,Full-time employed,Centurion,Tshwane,Gauteng,Suburban,10.2,289268.13,True,True,True,False,False,True,4628.66,30307.67,34686.35,,,850000.0,,,,,,,True,False,True,6.0,,5.0,698.0
50,23,Married,Matric,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,0.8,71339.06,True,True,False,False,False,False,920.98,4402.3,,,,,,,,,,,True,True,False,0.0,7.0,,
51,28,Single,Matric,Full-time employed,Sandton,Johannesburg,Gauteng,Urban,1.6,160539.62,True,False,False,False,False,True,2337.62,,,,,377646.05,,,,,,,True,True,True,4.0,9.0,1.0,614.0
52,37,Single,Bachelor's,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,7.3,7958.39,True,False,True,False,False,False,151.06,,723.62,,,,,,,,,2023-10-31,True,True,False,0.0,2.0,,702.0
53,73,Married,Matric,Part-time employed,Mahikeng CBD,Mahikeng,North West,Urban,8.6,172289.74,True,True,True,False,True,True,4003.72,19209.44,31687.39,,2390957.45,439065.69,,,,,,,True,True,False,4.0,13.0,,498.0
54,19,Single,Bachelor's,Full-time employed,Alexandra,Johannesburg,Gauteng,Township,2.1,132775.37,False,False,False,False,False,False,,,,,,,,,,,,,False,False,True,,,6.0,409.0
55,39,Single,Less than matric,Unemployed,Green Point,Cape Town,Western Cape,Urban,2.9,25009.88,False,False,False,True,False,False,,,,25827.15,,,,,2024-08-14,,,,True,False,False,1.0,,,485.0
56,45,Married,Matric,Full-time employed,Motherwell,Gqeberha,Eastern Cape,Township,2.9,586292.48,False,False,True,True,False,True,,,68863.56,125577.58,,850000.0,,,,,,,False,True,True,,7.0,5.0,549.0
57,49,Single,Less than matric,Full-time employed,Walmer,Gqeberha,Eastern Cape,Suburban,3.4,326232.62,True,False,False,False,False,False,4543.36,,,,,,,,,,,,False,True,True,,12.0,3.0,720.0
58,39,Single,Postgraduate,Full-time employed,Umlazi,Durban,KwaZulu-Natal,Township,8.2,434612.33,True,False,False,False,False,False,6779.19,,,,,,,,,,,,False,True,False,,0.0,,577.0
59,36,Single,Matric,Self-employed,Umlazi,Durban,KwaZulu-Natal,Township,1.4,319255.33,True,True,True,True,True,True,4112.62,32558.8,41736.66,149356.09,1352475.43,580435.36,,,,,,,False,True,True,,2.0,3.0,628.0
60,42,Single,Matric,Unemployed,Green Point,Cape Town,Western Cape,Urban,6.0,89809.64,True,False,False,False,False,False,1861.25,,,,,,,,,,,,True,True,False,6.0,6.0,,
61,39,Single,Diploma/Certificate,Retired,Khayelitsha,Cape Town,Western Cape,Township,2.0,,False,False,True,True,False,False,,,2737.12,21366.07,,,,,,,,,False,False,True,,,1.0,420.0
62,38,Single,Diploma/Certificate,Retired,Rosebank,Johannesburg,Gauteng,Urban,7.0,73305.06,True,True,False,False,False,True,1640.05,9339.94,,,,513800.15,,,,,,,True,False,True,3.0,,0.0,611.0
63,48,Single,Matric,Full-time employed,Tembisa,Ekurhuleni,Gauteng,Township,6.6,214164.78,False,True,True,False,False,True,,26231.6,30281.15,,,255199.59,,,,2024-09-28,,,True,True,True,4.0,0.0,14.0,835.0
64,26,Single,Bachelor's,Full-time employed,Fourways,Johannesburg,Gauteng,Suburban,3.6,104871.54,True,True,False,False,True,False,1415.91,11019.39,,,738553.7,,,,,,,,True,True,False,0.0,7.0,,527.0
65,35,Married,Matric,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,3.2,26994.12,False,False,False,True,False,False,,,,130594.67,,,,,,,,,False,True,True,,4.0,6.0,518.0
66,52,Divorced,Matric,Self-employed,Fourways,Johannesburg,Gauteng,Suburban,5.6,,True,True,False,False,False,False,3223.73,23581.9,,,,,,,,,,,True,True,False,3.0,6.0,,
67,39,Married,Matric,Self-employed,Tlhabane,Rustenburg,North West,Township,6.4,131205.83,True,True,False,False,False,True,2015.08,16737.88,,,,538556.01,,,,,,,False,False,True,,,4.0,328.0
68,35,Married,Matric,Unemployed,Sandton,Johannesburg,Gauteng,Urban,1.0,41467.62,False,False,False,True,True,False,,,,198614.26,869047.23,,,,,,,,True,True,False,4.0,3.0,,160.0
69,26,Married,Matric,Part-time employed,Soweto,Johannesburg,Gauteng,Township,1.0,171385.02,True,True,False,False,True,True,2655.6,12330.24,,,542978.05,235644.36,,,,,,,True,False,False,4.0,,,791.0
70,34,Married,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,8.2,325892.9,False,True,True,True,True,True,,29167.87,62604.83,30932.3,1409466.28,246379.22,,,,,,,False,True,True,,0.0,4.0,865.0
71,41,Married,Matric,,Tlhabane,Rustenburg,North West,Township,1.6,8018.64,False,True,False,True,True,False,,774.31,,108942.74,788529.27,,,,,,,2021-06-23,False,True,True,,7.0,10.0,540.0
72,41,Single,Matric,Unemployed,Tembisa,Ekurhuleni,Gauteng,Township,2.5,20188.12,False,False,False,True,False,False,,,,208497.88,,,2024-11-16,,,,,,False,False,True,,,5.0,353.0
73,47,Widowed,Less than matric,Unemployed,Nelspruit,Mbombela,Mpumalanga,Urban,4.7,5448.57,True,False,False,False,False,False,110.43,,,,,,,,,,,,True,False,False,0.0,,,
74,44,Married,Matric,Unemployed,Newlands,Cape Town,Western Cape,Suburban,4.1,6724.2,False,False,False,False,False,False,,,,,,,,,,,,,False,True,False,,3.0,,445.0
75,57,Married,Matric,Informal trader,Soweto,Johannesburg,Gauteng,Township,12.3,133795.24,True,True,False,False,False,False,2516.94,,,,,,,,,,,,False,False,False,,,,648.0
76,30,Married,Diploma/Certificate,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,8.2,21860.57,True,True,True,False,True,False,411.64,2356.87,2299.89,,820669.77,,,,,,,,True,True,False,0.0,1.0,,506.0
77,65,Married,Diploma/Certificate,Unemployed,Mdantsane,East London,Eastern Cape,Township,8.9,13786.62,True,False,False,True,False,False,220.2,,,104141.64,,,,,,,,,True,True,False,0.0,2.0,,590.0
78,52,Single,Matric,Unemployed,Rosebank,Johannesburg,Gauteng,Urban,8.2,53879.17,True,True,False,False,True,True,1150.86,4586.26,,,1034959.06,606896.29,,,2022-11-04,,,,True,True,True,6.0,12.0,1.0,717.0
78,52,Single,Matric,Self-employed,Rosebank,Johannesburg,Gauteng,Urban,8.8,54685.74,True,True,False,False,True,True,108132.17,397407.82,,,350674.08,625156.26,,,2022-11-04,,,,True,True,True,6.0,12.0,1.0,717.0
79,48,Single,Diploma/Certificate,Unemployed,Tlhabane,Rustenburg,North West,Township,1.5,23543.78,False,False,False,False,False,False,,,,,,,,,,,,,False,True,True,,1.0,8.0,665.0
80,18,Married,Matric,Unemployed,Glenwood,Durban,KwaZulu-Natal,Urban,0.6,28423.75,False,True,False,False,False,False,,2626.45,,,,,,,,,,,True,True,True,4.0,8.0,3.0,
81,54,Divorced,Bachelor's,Student,Walmer,Gqeberha,Eastern Cape,Suburban,9.8,4611.91,False,True,False,False,False,False,,274.63,,,,,,,,,,,True,False,False,0.0,,,
82,18,Single,Less than matric,Unemployed,Tembisa,Ekurhuleni,Gauteng,Township,0.6,28748.72,False,False,False,True,False,False,,,,16398.12,,,,,,,,,False,False,True,,,3.0,475.0
83,38,Single,Matric,Unemployed,Green Point,Cape Town,Western Cape,Urban,6.8,32216.97,True,True,False,True,False,False,647.56,4344.14,,168625.01,,,,,2024-09-04,,,,True,True,False,0.0,10.0,,755.0
84,18,Single,Less than matric,Full-time employed,Newlands,Cape Town,Western Cape,Suburban,3.0,146270.5,False,False,False,True,False,True,,,,23949.94,,138549.71,,,,,,,True,False,False,5.0,,,298.0
85,35,Single,Less than matric,Full-time employed,Tlhabane,Rustenburg,North West,Township,8.3,162560.83,True,False,False,False,True,False,3289.41,,,,671060.22,,,,,,,,False,True,True,,5.0,3.0,548.0
86,43,Single,Diploma/Certificate,Retired,Seshego,Polokwane,Limpopo,Township,4.2,173164.6,True,False,False,True,False,True,3259.3,,,55295.5,,168177.14,,,,,,,False,True,True,,4.0,3.0,410.0
87,37,Married,Diploma/Certificate,Informal trader,Glenwood,Durban,KwaZulu-Natal,Urban,4.6,656321.92,True,True,True,False,True,False,14345.62,54776.25,47754.42,,1789073.7,,,,,,,,True,True,False,11.0,0.0,,889.0
88,30,Single,Matric,Retired,Umhlanga,Durban,KwaZulu-Natal,Urban,1.9,320307.24,True,True,True,False,True,True,5845.16,21969.78,11219.0,,2800000.0,164519.38,,,,,,,False,False,False,,,,495.0
89,33,Single,Matric,Part-time employed,Khayelitsha,Cape Town,Western Cape,Township,5.3,112388.19,False,True,False,False,False,False,,12100.75,,,,,,,,,,,False,False,True,,,4.0,313.0
90,18,Single,Matric,Unemployed,,,,,3.0,22370.24,False,False,True,False,False,False,,,1891.46,,,,,,,,,,False,False,False,,,,488.0
91,40,Married,Matric,Unemployed,Mitchells Plain,Cape Town,Western Cape,Township,5.6,909.45,False,True,True,False,False,False,,112.65,7.83,,,,2021-10-10,,,,,,True,False,True,0.0,,6.0,431.0
92,29,Single,Less than matric,Unemployed,Mdantsane,East London,Eastern Cape,Township,0.3,21995.32,False,True,False,False,False,False,,2456.43,,,,,,,,,,,False,False,False,,,,524.0
93,47,Married,Matric,Self-employed,Soweto,Johannesburg,Gauteng,Township,6.0,146914.21,True,True,True,False,False,False,2529.4,18160.82,9611.59,,,,,,,,,,True,True,False,0.0,2.0,,729.0
94,59,Married,Matric,Part-time employed,Green Point,Cape Town,Western Cape,Urban,8.7,28575.14,True,False,False,False,False,True,608.25,,,,,344422.53,,,,,,,True,True,True,5.0,2.0,0.0,501.0
95,58,Married,Bachelor's,Self-employed,Waterfront,Cape Town,Western Cape,Urban,7.5,82997.38,True,False,False,True,True,False,1552.11,,,151457.11,1808480.17,,,2021-11-01,,,,,False,False,True,,,0.0,724.0
96,21,Single,,Student,Sandton,Johannesburg,Gauteng,Urban,3.6,45388.01,True,False,True,False,False,True,945.66,,4913.32,,,616148.91,,,,,,,True,True,False,3.0,13.0,,646.0
97,26,Single,Matric,Self-employed,Mitchells Plain,Cape Town,Western Cape,Township,3.7,111291.5,True,True,False,False,False,True,1522.66,9098.88,,,,609415.84,,,,,,,False,False,True,,,1.0,508.0
98,38,Single,Bachelor's,Full-time employed,Fourways,Johannesburg,Gauteng,Suburban,1.7,311609.68,True,True,True,True,False,False,4138.18,34356.43,44019.64,120879.09,,,,,,,,,True,True,True,8.0,0.0,2.0,713.0
99,49,Married,Matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,7.6,333894.55,True,True,False,False,True,False,4873.36,24526.01,,,2800000.0,,,,,,,,True,True,False,5.0,9.0,,683.0
100,31,Single,Matric,Full-time employed,Fourways,Johannesburg,Gauteng,Suburban,2.9,282834.32,False,True,True,False,True,True,,25600.92,25478.58,,,653887.42,,,,,,,False,False,False,,,,501.0
101,35,Single,Matric,Informal trader,Khayelitsha,Cape Town,Western Cape,Township,5.8,40016.79,True,True,False,False,False,False,683.66,2549.53,,,,,,,,,,,False,True,True,,0.0,3.0,583.0
102,39,Married,Matric,Full-time employed,Centurion,Tshwane,Gauteng,Suburban,2.3,405876.9,True,False,True,False,False,False,5330.32,,20485.29,,,,,,,,,,False,True,False,,12.0,,673.0
103,32,Single,Less than matric,Retired,Sandton,Johannesburg,Gauteng,Urban,3.9,288674.27,True,True,False,True,False,False,6169.05,36860.42,,62574.86,,,,,,,,2021-08-09,True,False,True,10.0,,1.0,852.0
104,36,Single,Matric,Retired,Mitchells Plain,Cape Town,Western Cape,Township,2.8,209398.19,True,True,False,False,True,False,3339.35,22121.86,,,1309666.58,,,,,,,,False,True,False,,0.0,,622.0
105,36,Single,Bachelor's,Unemployed,Langenhoven Park,Bloemfontein,Free State,Suburban,3.5,14721.14,False,True,False,False,False,True,,1866.8,,1097.69,,403904.19,,,,,,,True,True,False,0.0,3.0,,551.0
106,35,Married,Bachelor's,Part-time employed,Mamelodi,Tshwane,Gauteng,Township,6.9,78423.67,True,True,False,False,False,False,1158.66,8969.9,,,,,,,,,,,False,False,True,,,8.0,466.0
107,35,Single,Bachelor's,Informal trader,Mdantsane,East London,Eastern Cape,Township,1.3,183383.81,False,False,True,False,False,False,,,9677.83,,,,,,,,,,False,True,True,,3.0,4.0,688.0
108,42,Single,Matric,Part-time employed,Botshabelo,Bloemfontein,Free State,Township,4.2,60966.41,False,False,False,False,False,False,,,,,,,,,,,,,True,True,True,0.0,6.0,7.0,385.0
109,28,Single,Diploma/Certificate,Full-time employed,Mdantsane,East London,Eastern Cape,Township,6.8,311847.28,False,True,False,False,False,False,,20075.5,,,,,,,,,,,False,False,False,,,,800.0
110,18,Single,Less than matric,Full-time employed,Galeshewe,Kimberley,Northern Cape,Township,2.5,474881.26,False,False,False,False,True,False,,,,,567927.75,,,,,,,,False,True,True,,2.0,3.0,298.0
111,31,Single,Less than matric,Unemployed,Tembisa,Ekurhuleni,Gauteng,Township,5.1,31202.68,False,True,False,False,False,False,,3692.65,,,,,,,,,,,False,False,True,,,5.0,664.0
112,49,Single,Diploma/Certificate,Full-time employed,Fourways,Johannesburg,,Suburban,3.3,518382.61,True,True,True,False,True,True,6763.52,42214.13,8425.13,,2076340.98,842316.5,,,,,,,True,True,False,6.0,3.0,,694.0
113,36,Married,,Unemployed,Mahikeng CBD,Mahikeng,North West,Urban,7.2,15846.04,False,True,False,True,True,False,,1228.37,,124142.75,2303692.47,,,,,,,,False,True,True,,3.0,1.0,596.0
114,21,Single,Less than matric,Full-time employed,Soweto,Johannesburg,Gauteng,Township,2.2,133886.68,False,False,True,True,False,False,,,10391.04,18464.71,,,,,,,,,True,True,False,0.0,5.0,,817.0
115,41,Married,Bachelor's,Self-employed,Soweto,Johannesburg,Gauteng,Township,5.8,95497.94,False,False,True,True,False,False,,,7430.13,178785.35,,,,,,,,,False,True,False,,3.0,,425.0
116,49,Married,Matric,Informal trader,Rosebank,Johannesburg,Gauteng,Urban,3.2,13770.56,True,True,False,False,True,True,252.64,1789.13,,,615146.97,220569.75,,,,,,,True,True,True,2.0,2.0,1.0,776.0
117,18,Single,Less than matric,Full-time employed,Sandton,Johannesburg,Gauteng,Urban,1.3,127621.51,True,False,True,False,False,False,2594.0,,10610.49,,,,,,,,,,True,True,True,3.0,4.0,0.0,577.0
118,17,Single,Less than matric,Unemployed,Fourways,Johannesburg,Gauteng,Suburban,1.0,30233.39,False,False,False,False,False,False,,,,,,,,,,,,,True,True,False,3.0,5.0,,
119,24,Single,Diploma/Certificate,Unemployed,Hillcrest,Durban,KwaZulu-Natal,Suburban,2.8,8712.88,False,False,False,True,False,False,,,,57018.0,,,,,,,,,True,True,False,0.0,7.0,,277.0
120,23,Married,Diploma/Certificate,Full-time employed,Sandton,Johannesburg,Gauteng,Urban,4.6,163378.6,True,True,True,True,False,True,2927.55,12889.95,8386.18,27412.05,,404049.32,,,,,,,True,False,True,2.0,,0.0,658.0
121,62,Married,Matric,Self-employed,Umlazi,Durban,KwaZulu-Natal,Township,9.1,213683.79,True,True,True,False,False,True,2777.37,15353.23,26645.71,,,214458.85,,,,,,,False,True,True,,0.0,1.0,845.0
122,24,Single,Matric,Full-time employed,Mamelodi,Tshwane,Gauteng,Township,2.3,388229.15,False,False,False,False,False,True,,,,,,666820.83,,2023-04-10,,,,,False,False,False,,,,330.0
123,49,Single,Matric,Part-time employed,Mamelodi,Tshwane,Gauteng,Township,9.4,124572.81,True,False,False,False,False,True,2446.98,,,,,660605.93,,,,,,,True,True,False,4.0,4.0,,633.0
124,48,Married,Diploma/Certificate,,Hillcrest,Durban,KwaZulu-Natal,Suburban,4.5,270007.05,True,False,True,False,False,True,4250.46,,22689.73,,,442435.48,,2022-10-16,,,,,True,True,True,8.0,7.0,1.0,967.0
125,47,Married,Matric,Unemployed,Khayelitsha,Cape Town,Western Cape,Township,0.3,19993.64,False,True,False,True,False,False,,1192.57,,167575.59,,,,,,,,,False,False,True,,,5.0,105.0
126,42,Single,Less than matric,Part-time employed,Soweto,Johannesburg,Gauteng,Township,4.0,288502.31,False,False,True,False,False,False,,,33937.59,,,,,,,,,,True,False,True,10.0,,5.0,645.0
127,28,Single,Matric,Retired,Motherwell,Gqeberha,Eastern Cape,Township,2.2,333627.44,True,True,False,True,False,False,6465.83,29861.14,,61395.83,,,,,,,,,True,True,True,1.0,3.0,2.0,251.0
128,31,Single,Diploma/Certificate,Full-time employed,Waterfront,Cape Town,Western Cape,Urban,5.8,188416.24,True,True,True,False,True,True,3700.49,19114.43,31138.37,,471013.8,661212.23,,,,,,,True,True,False,9.0,31.0,,868.0
